111-1518 J2253+1608   band6          AA  GL  KT  MM  
111-1526 J0112+3208   band6          AA  GL  KT  --  
111-1528 J0057+3021   band6          AA  GL  KT  MM  
111-1532 J0112+3208   band6          AA  GL  KT  MM  
111-1534 J0057+3021   band6          AA  GL  KT  MM  
111-1538 J0112+3208   band6          AA  GL  KT  MM  
111-1604 3C84         band6          AA  GL  KT  --  AX  LM  NN  
111-1612 3C84         band6          AA  GL  KT  --  AX  LM  NN  
111-1622 J0510+1800   band6          AA  GL  KT  --  AX  LM  NN  
111-1636 3C84         band6          AA  GL  KT  --  AX  LM  NN  
111-1644 3C84         band6          AA  GL  KT  --  AX  LM  NN  
111-1654 J0510+1800   band6          AA  GL  KT  --  AX  LM  NN  
111-1709 3C84         band6          AA  GL  KT  --  AX  LM  NN  
111-1717 3C84         band6          AA  GL  KT  --  AX  LM  NN  
111-1727 J0510+1800   band6          AA  GL  KT  --  AX  LM  NN  
111-1741 3C84         band6          AA  GL  KT  MM  AX  LM  NN  
111-1749 3C84         band6          AA  GL  KT  MM  AX  LM  NN  
111-1759 J0510+1800   band6          AA  GL  KT  --  AX  LM  NN  
111-1814 3C84         band6          AA  GL  KT  MM  AX  LM  NN  SW  
111-1822 3C84         band6          AA  GL  KT  MM  AX  LM  NN  SW  
111-1832 J0510+1800   band6          AA  GL  KT  --  AX  LM  NN  --  
111-1846 3C84         band6          AA  GL  KT  MM  AX  LM  NN  SW  
111-1854 3C84         band6          AA  GL  KT  MM  AX  LM  NN  SW  
111-1904 J0510+1800   band6          AA  GL  KT  --  AX  LM  NN  --  
111-1918 3C84         band6          AA  GL  KT  MM  AX  LM  NN  SW  
111-1928 J0510+1800   band6          AA  GL  KT  --  AX  LM  NN  --  
111-1943 3C84         band6          --  GL  KT  MM  AX  LM  NN  SW  
111-1953 J0510+1800   band6          --  GL  KT  MM  AX  LM  NN  --  
111-2008 3C84         band6          --  GL  KT  MM  AX  LM  NN  SW  
111-2018 J0510+1800   band6          --  GL  KT  MM  AX  LM  NN  SW  
111-2033 3C84         band6          --  GL  KT  MM  AX  LM  NN  SW  
111-2043 J0510+1800   band6          --  GL  KT  MM  AX  LM  NN  SW  
111-2058 3C84         band6          --  GL  KT  MM  --  LM  NN  SW  
111-2108 J0510+1800   band6          --  GL  KT  MM  --  LM  --  SW  
111-2136 3C84         band6          --  GL  KT  MM  --  LM  --  SW  
111-2146 J0510+1800   band6          --  GL  KT  MM  --  --  --  SW  
111-2201 3C84         band6          --  GL  KT  MM  --  LM  --  SW  
111-2221 J0741+3112   band6          --  GL  KT  --  AX  LM  NN  --  MG  
111-2231 J0741+3112   band6          --  GL  KT  --  AX  LM  NN  --  MG  
111-2246 OJ287        band6          AA  GL  KT  --  AX  LM  NN  --  MG  
111-2254 J0609-1542   band6          AA  --  KT  MM  AX  LM  --  SW  MG  SZ  
111-2302 J0609-1542   band6          AA  --  KT  MM  AX  LM  --  SW  MG  SZ  
111-2312 OJ287        band6          AA  GL  KT  --  AX  LM  NN  --  MG  --  
111-2324 OJ287        band6          AA  GL  KT  --  AX  LM  NN  --  MG  --  
111-2332 J0927+3902   band6          AA  GL  KT  MM  AX  LM  NN  --  MG  --  
111-2340 J0927+3902   band6          AA  GL  KT  MM  AX  LM  NN  --  MG  --  
111-2350 OJ287        band6          AA  GL  KT  MM  AX  LM  NN  --  MG  --  
112-0018 3C273        band6          AA  GL  --  --  AX  LM  NN  --  --  --  
112-0021 NGC4261      band6          AA  GL  KT  --  AX  LM  NN  --  --  --  
112-0025 3C273        band6          AA  --  --  --  --  --  --  --  --  --  
112-0027 NGC4261      band6          AA  GL  KT  --  AX  LM  NN  --  --  --  
112-0031 3C273        band6          AA  --  --  --  --  --  --  --  --  --  
112-0037 3C279        band6          AA  --  --  --  AX  LM  NN  --  --  SZ  
112-0044 3C273        band6          AA  GL  KT  --  AX  LM  NN  --  --  --  
112-0047 NGC4261      band6          AA  GL  KT  --  AX  LM  NN  --  --  --  
112-0051 3C273        band6          AA  --  --  --  --  --  --  --  --  --  
112-0053 NGC4261      band6          AA  GL  KT  --  AX  LM  NN  --  --  --  
112-0057 3C273        band6          AA  --  --  --  --  --  --  --  --  --  
112-0107 3C273        band6          AA  GL  KT  --  AX  LM  NN  --  --  --  
112-0110 NGC4261      band6          AA  GL  KT  --  AX  LM  NN  --  --  --  
112-0114 3C273        band6          AA  --  --  --  --  --  --  --  --  --  
112-0116 NGC4261      band6          AA  GL  KT  --  AX  LM  NN  --  --  --  
112-0120 3C273        band6          AA  --  --  --  --  --  --  --  --  --  
112-0126 3C279        band6          AA  GL  KT  --  AX  LM  NN  --  --  SZ  
112-0133 3C273        band6          AA  GL  KT  --  AX  LM  NN  --  --  --  
112-0136 NGC4261      band6          AA  GL  KT  --  AX  LM  NN  --  --  --  
112-0140 3C273        band6          AA  --  --  --  --  --  --  --  --  --  
112-0142 NGC4261      band6          AA  GL  KT  --  AX  LM  NN  --  MG  --  
112-0146 3C273        band6          AA  --  --  --  --  --  --  --  --  --  
112-0150 3C279        band6          AA  GL  KT  --  AX  LM  NN  --  --  SZ  
112-0201 3C273        band6          AA  GL  KT  --  AX  LM  NN  --  MG  --  
112-0204 NGC4261      band6          AA  GL  KT  --  AX  LM  NN  --  MG  --  
112-0208 3C273        band6          AA  --  --  --  --  --  --  --  --  --  
112-0210 NGC4261      band6          AA  GL  KT  --  AX  LM  NN  --  MG  --  
112-0214 3C273        band6          AA  --  --  --  --  --  --  --  --  --  
